guild_id,user_id,channel_id,joined_at,left_at,duration_seconds
1399126688943570974,298130008218796034,1399493915131904123,2025-12-19T06:12:59.788613+00:00,2025-12-19T06:24:53.699767+00:00,713
1399126688943570974,1316778370494759003,1399493915131904123,2025-12-19T07:22:11.166461+00:00,2025-12-19T07:46:49.175186+00:00,1478
1399126688943570974,461240029340237824,1399493915131904123,2025-12-19T07:17:15.749999+00:00,2025-12-19T08:06:55.540114+00:00,2979
1399126688943570974,461240029340237824,1399493915131904123,2025-12-19T13:18:58.557614+00:00,2025-12-19T13:19:47.200119+00:00,48
1399126688943570974,962835349250375710,1427732690664161332,2025-12-19T10:55:25.436759+00:00,2025-12-19T13:37:47.260351+00:00,9741
1399126688943570974,962835349250375710,1399493915131904123,2025-12-19T18:26:08.915668+00:00,2025-12-19T18:28:20.541044+00:00,131
1399126688943570974,962835349250375710,1427732690664161332,2025-12-20T00:14:54.424455+00:00,2025-12-20T01:12:16.441546+00:00,3442
1399126688943570974,1076948330761953311,1399493915131904123,2025-12-20T08:14:52.343597+00:00,2025-12-20T08:17:13.954637+00:00,141
1399126688943570974,461240029340237824,1399493915131904123,2025-12-20T15:25:12.620342+00:00,2025-12-20T15:32:39.434555+00:00,446
1399126688943570974,1331927419665514496,1427743564174987315,2025-12-20T16:05:59.869570+00:00,2025-12-20T16:15:48.568859+00:00,588
1399126688943570974,962835349250375710,1427743564174987315,2025-12-20T16:01:10.339014+00:00,2025-12-20T16:16:11.332610+00:00,900
1399126688943570974,181186953700573184,1427743564174987315,2025-12-20T16:01:57.411338+00:00,2025-12-20T16:18:34.149020+00:00,996
1399126688943570974,836312326608781312,1427743564174987315,2025-12-20T16:17:20.472851+00:00,2025-12-20T16:30:45.658011+00:00,805
1399126688943570974,962835349250375710,1427743564174987315,2025-12-20T16:54:42.133054+00:00,2025-12-20T16:55:00.397450+00:00,18
1399126688943570974,461240029340237824,1427743564174987315,2025-12-20T16:44:04.062076+00:00,2025-12-20T17:08:22.645432+00:00,1458
1399126688943570974,1316778370494759003,1427743564174987315,2025-12-20T17:05:01.583552+00:00,2025-12-20T17:22:43.176098+00:00,1061
1399126688943570974,622180544737837077,1427743564174987315,2025-12-20T16:10:43.660199+00:00,2025-12-20T17:25:35.527161+00:00,4491
1399126688943570974,962835349250375710,1427743564174987315,2025-12-20T17:25:38.494594+00:00,2025-12-20T17:38:38.325277+00:00,779
1399126688943570974,587882383370616835,1427743564174987315,2025-12-20T17:36:59.530300+00:00,2025-12-20T17:40:13.706508+00:00,194
1399126688943570974,1012395044533178398,1427743564174987315,2025-12-20T17:59:30.687441+00:00,2025-12-20T18:12:32.825368+00:00,782
1399126688943570974,175482097803329546,1427743564174987315,2025-12-20T17:57:03.494615+00:00,2025-12-20T18:19:31.874966+00:00,1348
1399126688943570974,622180544737837077,1427743564174987315,2025-12-20T17:25:41.137972+00:00,2025-12-20T18:35:41.267572+00:00,4200
